"id","created_at","name","has_test","alternate_url"
"123876026","2025-08-11T09:09:14+0300","Junior Data Scientist, Отдел сопровождения проектов ИИ",false,"https://hh.ru/vacancy/123876026"
"123943372","2025-08-12T11:59:34+0300","Data Scientist",false,"https://hh.ru/vacancy/123943372"
"123393842","2025-07-29T17:43:24+0300","Data Scientist (руководитель направления)",false,"https://hh.ru/vacancy/123393842"
"123736003","2025-08-07T10:49:20+0300","ML-инженер (Junior Data Scientist)",false,"https://hh.ru/vacancy/123736003"
"123548425","2025-08-03T18:02:12+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/123548425"
"123143442","2025-07-23T12:16:07+0300","Data Scientist (Middle) / Специалист по машинному обучению и оптимизации",false,"https://hh.ru/vacancy/123143442"
"123938355","2025-08-12T10:55:24+0300","Data Scientist (Анализ цены)",false,"https://hh.ru/vacancy/123938355"
"123671848","2025-08-05T19:08:16+0300","Data Scientist",false,"https://hh.ru/vacancy/123671848"
"123872727","2025-08-11T08:17:50+0300","ML инженер, Data scientist",false,"https://hh.ru/vacancy/123872727"
"123938688","2025-08-12T10:59:56+0300","Recruiter",false,"https://hh.ru/vacancy/123938688"
"123969965","2025-08-12T15:23:24+0300","Data Scientist",false,"https://hh.ru/vacancy/123969965"
"122940580","2025-07-17T12:41:08+0300","Ведущий разработчик искусственного интеллекта/Middle Data scientist",false,"https://hh.ru/vacancy/122940580"
"123918645","2025-08-11T18:54:32+0300","ML engineer / Data scientist",false,"https://hh.ru/vacancy/123918645"
"123366738","2025-07-29T13:03:23+0300","Data Scientist",false,"https://hh.ru/vacancy/123366738"
"123831189","2025-08-08T13:29:58+0300","Data Scientist/ML-Аналитик",true,"https://hh.ru/vacancy/123831189"
"123110215","2025-07-22T14:54:12+0300","Middle data scientist (классический ml)",false,"https://hh.ru/vacancy/123110215"
"123484931","2025-08-09T16:51:20+0300","Engineering Manager / Team Lead",false,"https://hh.ru/vacancy/123484931"
"123505974","2025-08-01T09:24:12+0300","Data Scientist (NLP)",false,"https://hh.ru/vacancy/123505974"
"123651307","2025-08-05T13:50:12+0300","Backend-разработчик Python (AI / RAG-системы)",false,"https://hh.ru/vacancy/123651307"
"123613186","2025-08-04T17:11:07+0300","Data Scientist",false,"https://hh.ru/vacancy/123613186"
